0,1,2,3,4
130657948,Où est passée ma combinaison spatiale  : petit guide de voyage dans ce futur incroyable que nous promettait la science-fiction,"Le futur promis par la science-fiction aurait dû être totalement automatisé, reposant sur la force de l'atome et entièrement débarrassé des microbes – un lieu où un homme adulte aurait pu porter une combinaison moulante en lycra sans qu'on se moque de lui. Où sont les pistolets laser, les voitures volantes et les hoverboards ? Qu'est-il arrivé aux colonies lunaires ? Et à nos robots serviteurs ? Pourtant, certaines prophéties se sont bel et bien réalisées ! Ce livre illustré par Richard Horne est une vision fascinante et caustique du monde dont certains avaient rêvé. Daniel Wilson nous présente avec humour les technologies déjà disponibles et, pour les autres, comment les construire ou les voler !",Progrès scientifique et technique -- Ouvrages humoristiques;Utopies techniques -- Ouvrages humoristiques,
145539989,Anastasia avec conviction,"Anastasia vient d'avoir un chien et se rend compte qu'il s'agit là d'une nouvelle vie : se lever à l'aube pour le sortir, ramasser ses crottes, le nourrir comme elle l'a promis à ses parents...",Chien;Enfants et animaux,
145622827,Le jardin secret de Lydia,"Pendant la Grande Dépression aux Etats-Unis en 1935,Les parents de Lydia ont des difficultés financières et l'envoient comme apprentie chez son oncle Jim, boulanger à la ville. Au fil des lettres qu'elle adresse à sa famille, nous découvrons sa nouvelle vie, ses appréhensions, ses espoirs. D'un naturel très positif, Lydia, passionnée de jardinage, nous entraîne dans sa grande entreprise : embellir son environnement et faire sourire l'oncle Jim, gentil mais bourru ! Comment une petite fille entreprend de transformer un quotidien morose en jardin d'Eden... Une histoire originale, remplie de vigueur et d'optimisme, alliée à des personnages attachants, unis par de solides liens. Sélectionné par le Ministère de l'Éducation Nationale en Cycle 3, Niveau 1",Fleurs;Jardinage;Jardins privés;Parents et enfants,
168625164,La fabrique des centenaires : solidarité et dépendance,"La 4e de couv. indique : ""Le défi du grand âge c'est aujourd'hui. En 2035, un tiers des Français aura plus de 65 ans. Une personne sur cinq ayant dépassé cet âge aujourd'hui sera ""dépendante "", autrement dit en sévère perte d'autonomie à partir de l'âge de 85 ans. Une situation qui dure en moyenne quatre années. Cette perte d'autonomie devrait doubler d'ici à 2060 et se traduire par une augmentation de 1,15 millions à 2,3 millions de nos concitoyens concernés. Elle a et aura forcément un coût. Malgré l'urgence la réponse à ce défi tarde. La hausse de l'espérance de vie, une bonne nouvelle, doit-elle aller de pair avec la hausse de la paupérisation ? Des retraites mal indexées et des coûts des services qui s'accroissent forment effectivement un cocktail explosif. La retraite moyenne se situe autours de 1 200 euros et le coût de l'hébergement en maison de retraite tourne autours de 2500 euros. Comment assumer la différence, pudiquement appelée le reste à charge ? Comment aider les aidants, souvent les filles et belles-filles, qui s'usent au fil des ans, coincés entre leur vie professionnelle, l'éducation des enfants et la prise en charge des parents ? Que veulent les Français en matière de couverture dépendance ? Va-t-on une fois de plus, c'est une coutume républicaine, sacrifier les classes moyennes ? Quelles sont les propositions des différents acteurs, maires de France, élus, associations de consommateurs, syndicats ? Cet ouvrage fait le point et tire la sonnette d'alarme. Il y a urgence...""",Personnes âgées dépendantes -- Aspect économique;Personnes âgées dépendantes -- Politique publique;Vieillissement -- Aspect économique,362.6
169301079,"Une  exigence infinie : éthique de l'engagement, politique de la résistance","La 4e de couverture indique : ""Quelle réponse apporter à la désillusion des citoyens dans nos démocraties occidentales ? À un moment où, plus que jamais, les dérives de l’ordre néolibéral et sécuritaire exigent que nous le contestions ? Contre la double tentation du nihilisme actif (illustré notamment par le terrorisme) et du nihilisme passif (« cultivons notre jardin »), Simon Critchley montre que le ressort de l’engagement se situe dans l’éthique. Le bouleversement du statu quo politique ne saurait se produire sans la prise de conscience d’une injustice et l’expérience d’une exigence qui nous dépasse. Ce qu’Emmanuel Levinas appelle une responsabilité infinie. Cette éthique de l’engagement est donc fondamentalement une éthique de l’inconfort. L’humour comme distance à soi, joue un rôle essentiel en permettant au sujet de ne pas plier sous le poids de sa responsabilité. Simon Critchley nous offre une réflexion précieuse sur l’engagement éthique et politique à l’heure où les voix de la contestation s’élèvent, de la place Tahrir à « Occupy Wall Street », en passant par l’Espagne des Indignés.""",Désobéissance civile;Engagement (philosophie);Morale politique,172
193466902,Le phénomène Boko Haram : au-delà du radicalisme,"La 4e de couv. indique : ""Il faut se rendre à l'évidence : au coeur de l'Afrique, au Nigéria, au Cameroun, au Tchad et au Niger, une histoire singulière s'écrit d'encre et de salive mais surtout dans le sang et l'horreur. Que sait-on de ce mouvement obscur qui est parti des milieux islamistes modestes du nord du Nigéria pour prendre de l'ampleur en réussissant l'exploit d'exporter la terreur dans les foyers des pays environnants ? La réponse semble se trouver dans la question : le triomphe de l'obscurantisme. Trempé dans l'univers religieux dont il revendique une certaine exclusivité, le mouvement parle un langage outrageusement hostile à la raison. Il veut se fonder une légitimité inhérente à une fausse transcendance qu'il mêle à un pragmatisme violent. Le Dieu de Boko Haram n'est pas un Dieu d'amour. Il renifle toute présence humaine libre et la réduit à néant. Voici la question, la vraie. Elle est redondante mais elle mérite d'être posée à tout bout de champ : à qui pourrait bien profiter cette tourmente instaurée par une des pires sectes qu'ait connues le continent africain ?""",Intégrisme islamique;Intégrisme islamique;Terrorisme;Terrorisme;Terrorisme islamiste,320.557
193929783,Hauts lieux de légendes en Provence,"L'histoire tourmentée de la Provence a sans cesse alimenté la légende, et les deux se mêlent aux souvenirs des Provençaux. Dans ce livre vous trouverez 38 lieux illustrés et une carte vous proposant un parcours : une boucle qui relie ces lieux de légendes en partant d'Avignon pour descendre sur le littoral, remontant par la Haute Provence et enfin revenir par Grignan.",Mythes géographiques,398.209 449
193929821,Feu : roman,"La canicule écrase la ville d'Engelsfors, une vague de chaleur anormale étouffe la forêt environnante. Un phénomène qui inquiète les Élues, dans l'attente de la prochaine attaque des démons. Les jeunes sorcières, ébranlées par la mort d'Elias puis par celle de Rebecka, doivent encore apprendre à apprivoiser leurs pouvoirs alors que tous leurs repères s'écroulent. Et le Conseil, loin de les guider, leur intente un procès, alors qu'une étrange animosité à l'encontre des jeunes filles se répand à travers la ville comme une traînée de poudre. Cernées, esseulées, les Élues doivent faire front ensemble, mais les tensions au sein du cercle se font de plus en plus vives.",Roman pour la jeunesse suédois -- Traductions françaises,
194049280,Rosalie la cochonne et Léo le souriceau,"Rosalie la cochonne est triste parce qu'elle n'a pas de queue en tire bouchon. Ses amis ne sont pas gentils. "" Un cochon avec une queue de souris ! "" se moquent-ils. Léo le souriceau, lui a une queue bouclée. Ses amis se moquent de lui. "" Une souris avec une queue de cochon ! "" s'exclament-ils. Rosalie la cochonne et Léo le souriceau ne sont pas heureux jusqu'au jour où ils se rencontrent.",Amitié -- Ouvrages pour la jeunesse,
194355004,Mathématiques : exercices incontournables : MPSI,"Vous avez besoin d’accompagnement pour appliquer votre cours de mathématiques ? Vous voulez être à l’aise face à tout exercice ? La clé de la réussite est de bien maîtriser les exercices incontournables du programme. Cet ouvrage vous fait découvrir ces exercices et vous dévoile leurs méthodes de résolution. Pour chaque exercice, vous trouverez : la méthode de résolution expliquée et commentée étape par étape, le corrigé détaillé rédigé, les astuces à retenir et les pièges à éviter. [Source : 4e de couv.]",Mathématiques -- Manuels d'enseignement supérieur;Mathématiques -- Problèmes et exercices,510.76
