,TEF_LABEL,DDC
0,"Informatique, information, généralités",000
1,Informatique,004
2,Bibliothéconomie et sciences de l'information,020
3,Organisations générales et muséologie,060
4,"Médias d'information, journalisme, édition",070
5,Manuscrits et livres rares,090
6,"Philosophie, psychologie",100
7,Métaphysique,110
8,"Epistémologie, causalité, genre humain",120
9,"Phénomènes paranormaux, seudosciences",130
10,Les divers systèmes et écoles philosophiques,140
11,Psychologie,150
12,Logique,160
13,Morale (éthique),170
14,"Philosophie de l'Antiquité, du Moyen Âge, de
            l'Orient",180
15,Philosophie occidentale moderne et philosophies non orientales,190
16,Religion,200
17,Philosophie et théorie de la religion,210
18,Bible,220
19,Théologie chrétienne,230
20,Théologie morale et pratiques chrétiennes,240
21,"Eglises locales, ordres religieux chrétiens",250
22,"Théologie chrétienne et société, ecclésiologie",260
23,"Histoire et géographie du christianisme et de l'Eglise
            chrétienne",270
24,Confessions et sectes de l'Eglise chrétienne,280
25,Autres religions,290
26,"Sciences sociales, sociologie, anthropologie",300
27,Statistiques générales,310
28,Science politique,320
29,Economie,330
30,Droit,340
31,Administration publique. Arts et science militaires,350
32,Problèmes et services sociaux,360
33,Education et enseignement,370
34,"Commerce, communications, transports",380
35,Ethnologie,390
36,Langues et linguistique,400
37,Linguistique générale,410
38,Langue anglaise. Anglo-saxon,420
39,Langues germaniques. Allemand,430
40,Langues romanes. Français,440
41,"Langues italienne, roumaine, rhéto-romane",450
42,Langues espagnole et portugaise,460
43,Langues italiques. Latin,470
44,Langues helléniques. Grec classique,480
45,Autres langues,490
46,Sciences de la nature et mathématiques,500
47,Mathématiques,510
48,"Astronomie, cartographie, géodésie",520
49,Physique,530
50,"Chimie, minéralogie, cristallographie",540
51,Sciences de la terre,550
52,Paléontologie. Paléozoologie,560
53,"Sciences de la vie, biologie, biochimie",570
54,Plantes. Botanique,580
55,Animaux. Zoologie,590
56,Technologie (Sciences appliquées),600
57,Médecine et santé,610
58,Sciences de l'ingénieur,620
59,"Agronomie, agriculture et médecine vétérinaire",630
60,Economie domestique. Vie familiale,640
61,Gestion et organisation de l'entreprise,650
62,"Génie chimique, technologies alimentaires",660
63,Fabrication industrielle,670
64,Fabrication de produits à usages spécifiques,680
65,Bâtiments,690
66,Arts. Beaux-arts et arts décoratifs,700
67,Urbanisme,710
68,Architecture,720
69,Arts plastiques. Sculpture,730
70,Dessin. Arts décoratifs,740
71,Peinture,750
72,Arts graphiques,760
73,"Photographie et les photographies, art numérique",770
74,Musique,780
75,"Arts du spectacle, loisirs",790
76,Sport,796
77,"Histoire et critique littéraires, rhétorique",800
78,Littérature américaine en anglais,810
79,Littératures anglaise et anglo-saxonne,820
80,Littérature allemande,830
81,Littérature de langues romanes. Littérature française,840
82,Littérature italienne,850
83,Littératures espagnole et portugaise,860
84,Littérature latine,870
85,Littérature grecque,880
86,Littératures des autres langues,890
87, Géographie et histoire,900
88,Géographie et voyages,910
89,"Biographies générales, généalogie, emblèmes",920
90,Histoire ancienne et préhistoire,930
91,Histoire moderne et contemporaine de l'Europe,940
92,Histoire générale de la France,944
93,"Histoire générale de l'Asie, Orient, Extrême-Orient",950
94,Histoire générale de l'Afrique,960
95,Histoire générale de l'Amérique du Nord,970
96,Histoire générale de l'Amérique du Sud,980
97,"Histoire générale des autres parties du monde, des mondes
            extraterrestres. Iles du Pacifique",990
