,PPN
61741,192816969
14327,103220844
97448,233212337
94327,23143152X
136605,25561280X
1648,003484742
37701,166049921
14982,109925009
99386,234226536
152656,262267888
66770,196109590
102172,235331481
61486,192576445
85386,225697122
48755,181543656
133195,254122396
53167,185560733
144838,258740043
5964,05224170X
135842,255264887
4484,045788227
105836,23690454X
101595,235109614
72778,200404342
17496,118619586
169284,268799458
50372,183201523
6171,053849434
30378,152697004
142381,257936432
74023,201602423
103368,235755265
4628,047450037
1766,003632806
59727,191552208
48926,18171681X
121166,248590413
154804,262957868
102076,235280011
105369,236659456
162224,265485614
126760,250340143
19814,127631186
129539,252457234
27317,146979168
66457,19580547X
10219,076986152
51797,18437751X
133317,254162525
150329,261199609
105261,236616587
93652,231055099
32812,157175065
343,00094758X
34513,160364337
96584,232821909
66909,196122708
16952,11696622X
140174,257251537
106783,237131560
135179,254992609
93,000308838
6924,058296182
7476,059911174
43450,174891202
164464,266197809
68587,197101267
35683,162374631
141489,257651888
122147,248915053
113268,241152550
86989,227065069
81120,221455183
122073,248887130
59443,191351059
37854,166278351
70329,198388810
154061,262725126
90835,22977217X
92106,230373828
154207,262760606
140509,257349006
128724,251164152
49775,182508188
10424,077880560
8067,067313493
108260,23786908X
55517,188264930
124529,249549492
26787,145622827
59523,191415782
162171,265476585
163971,265995892
10313,077463560
23442,137422091
72008,199746184
120879,248458345
166907,26753177X
93366,23097368X
70529,198626126
17560,118854259
72224,200050818
156362,263487784
34208,159761875
70318,198384122
35742,163093741
95414,231860838
154190,262756625
80256,220935041
130155,252816528
27068,146527313
164459,266196268
93010,230756883
166243,267204302
119934,248194305
11833,086077368
169515,268924759
166627,267398220
157426,263926400
73495,200802860
44543,176553460
10088,076503909
27517,147294509
156219,263439038
151203,261643614
141100,257504990
101747,235130273
34491,160325463
82117,223827959
105372,236660640
8341,068130252
16994,11707764X
65939,195397851
114287,24155859X
19498,126056536
145496,259005487
9070,070072973
106827,237156989
9247,071247467
18211,120997703
69512,197872743
78764,219465118
117928,243051646
150229,26117309X
167610,267884575
131932,253533899
47362,180007343
100073,234544538
97008,233000372
122309,248944479
